# MOS CRT	# MOS LCD
34.357	25.409
42.071	31.727
56.286	42.182
62.179	46.182
74.607	58
79.321	62.545
75.964	69.182
81.071	81.136
42.714	26.318
45.821	35.136
59.036	47.227
61.393	55.455
63	56.727
74.929	63.955
77.857	69.091
85.214	82.273
35.214	26.364
52.107	34.682
55.321	43.5
64.036	50.318
70	58.045
76.964	65.091
72.571	65.364
84.393	77.5
35.25	33.5
42.929	36.182
56.179	44
62.286	54.818
73.75	59.818
75.536	68.5
80.464	71.727
86.036	81.636
30.276	16.714
41.655	27.524
61.241	38.762
71.655	56.143
73	51.667
72.862	67.333
76.448	65.476
81.966	76.143
40	21.952
55.103	31.619
70.414	54.048
65.276	40.095
74.621	58.143
78.897	59.143
77.172	63.095
85.69	75.81
33.276	19.476
53.552	33.238
70.034	49.381
70.483	52.095
80.655	65.571
67.966	48.952
81.276	70.81
84.207	75.19
39.345	27.429
54	44.429
56.31	41.048
55.931	38.238
64.345	52.905
75.414	65.762
73.552	63.143
81.69	74.381
37.719	20.318
51.281	33.5
59.5	40.682
69.281	56.318
74.25	57.727
78.219	67.182
70.188	57
81.063	71.682
39.656	24.682
54.625	34.5
63.875	41.818
65.969	47.909
71.656	53.455
74.25	56.909
75.625	65.364
84.063	77.227
30.5	19
45.219	32.727
57.219	44.864
58.813	48.545
66.594	54.545
67.094	62.364
72.313	68
75.344	80.182
33.781	22.091
55.063	31
65.813	44.727
66.281	48.864
73.031	58.227
72	59.227
74.531	64.455
78.969	67
