# 100-DMOSp	100-DMOS
   29.8754   44.0450
   47.9549   52.8630
   62.5128   64.9540
   68.1133   73.1820
   72.6921   74.4540
   79.3373   81.6820
   83.5324   86.8180
   30.9548   46.1420
   48.9941   55.8090
   63.3320   78.2380
   68.8115   64.2850
   73.2772   82.3330
   79.7352   83.3330
   83.7959   87.2850
   30.6452   38.8180
   48.6410   52.5450
   63.0163   64.6820
   68.5281   68.3630
   73.0284   74.3630
   79.5521   82.1820
   83.6665   87.8180
   36.1771   26.0670
   55.7897   56.6670
   69.7016   70.4000
   74.5887   75.4000
   78.3747   84.9330
   83.4872   92.2670
   86.4261   90.0000
   31.5108   30.9330
   49.6574   40.2000
   63.9404   50.0670
   69.3625   56.9330
   73.7643   65.3330
   80.0974   80.6000
   84.0538   83.7330
   29.8344   25.0630
   48.1234   33.1880
   62.7868   47.8750
   68.4006   50.2500
   72.9749   60.8750
   79.5812   70.5000
   83.7239   87.0000
