# MVC4C5/10	Sigma_v
  21.00000   97.1915
  15.50000   97.6503
  21.00000   97.7665
  15.75000   97.8046
  47.25000   85.9514
  43.25000   94.5909
   6.50000   97.1812
  25.25000   88.4012
  29.00000   87.4597
   7.25000   97.6490
  27.50000   93.9107
   6.75000   86.7436
  21.70000   95.8314
  14.90000   84.0237
  12.50000   96.3357
   5.77500   96.1540
  14.22500   86.0983
  39.95000   90.1557
  70.07500   84.4846
  37.97500   92.3886
  30.20000   96.4657
  13.55000   94.8006
  24.37500   98.2266
  14.75000   95.3165
