# tout/10	C4C5/10
  17.45600  21.00000
  16.60538  15.50000
  19.95837  21.00000
  14.94137  15.75000
  54.24625  47.25000
  43.01825  43.25000
  14.83950   6.50000
  29.64025  25.25000
  36.11288  29.00000
   7.10862   7.25000
  26.97450  27.50000
  14.58837   6.75000
  13.32875  21.70000
  42.62500  14.90000
  10.92338  12.50000
   5.96412   5.77500
  30.73837  14.22500
  40.95237  39.95000
  74.88125  70.07500
  36.89837  37.97500
  22.81312  30.20000
  16.58100  13.55000
  23.81600  24.37500
  12.74825  14.75000
