#SAMVIQ		#ACR
#MOS	IC	MOS	IC
81.136	5.31	81.852	4.318
82.273	4.844	81.111	4.832
77.5	6.033	75.185	6.133
81.636	5.523	69.259	7.09
74.381	4.477	70.741	7.09
75.19	5.662	73.704	5.932
75.81	4.659	78.148	7.326
76.143	5.344	78.889	4.356
77.227	6.613	80.37	5.281
80.182	5.265	75.185	5.372
71.682	7.692	68.519	5.093
67	6.927	72.222	6.726
88.333	2.943	87.037	2.731
85.2	2.753	78.889	4.356
78.467	5.635	75.185	5.765
84.6	4.336	82.593	4.261
85.867	5.484	80.37	6.053
80.867	5.241	75.185	4.948
85.75	4.957	71.481	5.093
81.875	6.918	75.185	5.765
83.4	5.566	84.074	3.51
79.938	7.032	82.593	4.261
81.313	6.908	78.148	6.013
85.467	5.255	82.593	4.261
