#IC SAMVIQ															#IC ACR
# sans rejet					rejet SAMVIQ					rejet ACR					# sans rejet					rejet SAMVIQ					rejet ACR
nbObs	moyenne	std	ic		nbObs	moyenne	std	ic		nbObs	moyenne	std	ic		nbObs	moyenne	std	ic		nbObs	moyenne	std	ic		nbObs	moyenne	std	ic
8	10.296	2.663	0.377		8	10.135	2.753	0.389		8	10.261	2.685	0.380		8	10.252	2.606	0.369		8	10.333	2.923	0.413		8	10.230	2.688	0.380
10	9.284	2.395	0.339		10	9.139	2.479	0.351		10	9.252	2.414	0.341		10	9.253	2.335	0.330		10	9.324	2.622	0.371		10	9.231	2.412	0.341
12	8.519	2.193	0.310		12	8.386	2.272	0.321		12	8.490	2.210	0.313		12	8.495	2.134	0.302		12	8.559	2.398	0.339		12	8.474	2.206	0.312
15	7.658	1.967	0.278		15	7.538	2.041	0.289		15	7.632	1.983	0.280		15	7.640	1.911	0.270		15	7.696	2.149	0.304		15	7.620	1.978	0.280
18	7.014	1.799	0.254		15	7.538	2.041	0.289		15	7.632	1.983	0.280		18	6.999	1.746	0.247		18	7.049	1.965	0.278		18	6.980	1.808	0.256
20	6.893	1.673	0.259		18	7.265	1.850	0.321		18	7.244	1.775	0.275		20	6.652	1.657	0.234		20	6.698	1.865	0.264		20	6.633	1.716	0.243
21	6.545	1.906	0.467		18	7.265	1.850	0.321		20	6.884	1.685	0.261		22	6.352	1.581	0.224		22	6.395	1.780	0.252		22	6.333	1.637	0.232
22	6.701	1.844	0.369		20	6.926	1.964	0.393		21	6.545	1.906	0.467		25	5.969	1.484	0.210		23	6.259	1.741	0.246		25	5.951	1.536	0.217
22	6.701	1.844	0.369		20	6.926	1.964	0.393		22	6.687	1.860	0.372		28	5.647	1.403	0.198		23	6.259	1.741	0.246		27	5.732	1.479	0.209
24	6.683	1.974	0.484		22	6.839	2.112	0.518		23	6.709	2.101	0.515
