# DMOS(C1)	P1			P2		P3			P4
34.0000		17.3205		11117	144.0967	124.2504
26.2660		12.3562		7931	102.7965	88.6384
27.4000		10.5778		6789	88.0011		75.8808
28.5330		19.9261		10910	129.1034	116.0866
14.6000		9.9770		5462	64.6417		58.1242
2.0000		7.4733		4092	48.4204		43.5384
11.8000		6.7938		4997	73.0094		59.8227
2.6000		4.6184		3397	49.6310		40.6668
3.6000		4.1693 		3067	44.8050		36.7125
5.0000		1.5176		724		8.0981		7.4755
-4.9340		1.0329		493		5.5114		5.0877
-2.7340		0.8591		410		4.5844		4.2319
46.3340		17.6656		13135	193.0225	158.5951
17.3200		9.1805		6826	100.3099	82.4187
48.7600		49.0635		30354	270.6429	201.4493
28.5330		26.2280		16227	144.6781	107.6891
31.6000		11.2513		8219	115.5496	96.9077
23.3600		9.5986		7011	98.5767		82.6730
54.2800		50.3790 	32417	420.9053	362.6461
29.9330		24.0068		15447	200.5718	172.8098
